ticker,percentage_or_shares
CNQ,9.03
LHX,1.38
FTAI,1.54
FQVLF,14.82
FDX,1.5
DOW,12.42
ROST,2.77
NGG,6.82
MS,3
MCK,0.85
LMT,1.06
AZN,3.9
NEM,5.1
GRMN,2
DHI,5.08
BA,6.923
GILD,5.64
MRK,9.75
ELAN,26.31
JPM,4.89
TSM,3.63
BRKB,3
GSK,20.83
SHEL,20.5
IMO,7.46
LRCX,2.61
PHM,6
TRV,3.77
PWR,1.77
TEL,6
AMZN,31.33
HCA,2
GOOG,5.52
LLY,1
URI,2
TJX,9
AMAT,3.77
GEV,2.09
MSFT,13.68
GE,8.63
NFLX,20
WAB,8
MU,4.28
KLAC,1.39
WMT,21
AAPL,13.77
XOM,25.91
APH,22
GOOGL,20.92
META,6.83
AVGO,12.02
NVDA,64.33
FDRXX,105.75
CODYY,1.34
DEO,0.32
LVMUY,0.38
SIEGY,0.67
ISNPY,1.55
PRNDY,1.45
RNMBY,0.06
TGOPY,2.59
SE,0.15
GVDNY,0.26
HTHIY,3.68
MGDDY,1.16
SNY,0.51
KGSPY,0.17
FUJIY,1.48
RNECY,2.2
PROSY,1.73
BMWKY,0.96
NVZMY,0.24
CMPGY,1.15
UBS,1.23
HMC,0.49
UL,0.37
NPSCY,3.883
PNDRY,1.08
ARGX,0.02
MQBKY,0.17
HXGBY,1.97
ZURVY,2.17
LZAGY,0.22
MURGY,1.36
SDXAY,1.21
MKKGY,0.85
DASTY,1.11
UNCRY,0.65
BURBY,0.53
RANJY,0.77
RELX,1.02
TKOMY,0.51
ADRNY,0.26
MBGYY,1.75
DANOY,1.01
RYAAY,0.39
AER,0.1
CRH,0.33
BNTGY,1.58
BNPQY,0.74
DBOEY,1.12
SPOT,0.04
BCS,1.03
BXBLY,1
ALIZY,2.92
THLLY,0.2
SBGSY,1.19
HENKY,1.43
TTDKY,0.8
AIQUY,0.96
SKHHY,2.12
IDEXY,1.28
NPNYY,1.55
BZLFY,0.98
CFRUY,3.02
LSEGY,0.97
ATLKY,0.93
SMPNY,0.8
TOELY,0.14
QBIEY,1.17
ING,1.12
MSADY,0.69
LGRDY,1.47
VEOEY,0.97
GMAB,0.69
MHVIY,0.51
ERIC,1.26
DQJCY,2.25
ASAZY,2.69
UPMMY,1.07
AIBGY,0.75
CHGCY,0.83
VWDRY,1.77
SCGLY,1.6
CCJ,0.12
PUK,1.35
SUHJY,0.91
OVCHY,0.85
DNKEY,0.95
SCBFY,0.76
DBSDY,0.2
NWG,4.2
IMBBY,1.06
VCISY,1.34
BUD,0.37
ISUZY,1.99
TM,0.16
SAFRY,0.79
SMCAY,1
HALMY,0.29
SGAPY,0.69
EONGY,1.09
DHLGY,0.99
KWHIY,0.35
NGLOY,0.96
OTSKY,0.6
SHECY,1.49
MRAAY,1.58
MT,0.35
AAGIY,1.86
ITOCY,3.5
FNV,0.12
BAESY,0.27
FRCOY,0.82
BTI,1.16
KBCSY,1.02
DSDVY,0.56
CAIXY,14.47
TAK,2.16
DTEGY,1.79
RHHBY,1.51
BHP,0.54
CNQ,0.56
BBVA,2
TTE,0.52
SSUMY,1.17
NGG,0.47
HOCPY,0.25
IBDRY,0.57
LYG,15.32
E,0.71
MFG,7.16
GLNCY,2.31
PRYMY,0.85
SSEZY,1.31
PCRHY,2.21
SMFG,3.94
MTSUY,1.14
ORANY,3.35
MARUY,0.12
SMERY,0.35
IX,2.1
MITSY,0.05
RYCEY,4.94
MITEY,1.49
HSBC,1.01
RIO,0.65
ASMIY,0.07
UCBJY,0.49
TEVA,1.57
NOK,4.9
TSM,0.2
GSK,1.49
AZN,0.575
