ticker,percentage_or_shares
WFC,23.75
COF,1.67
CAVA,1.91
SNOW,0.67
LPLA,1.42
PG,3.09
V,5.12
STZ,1.74
BRKR,4.62
GPN,2.47
PNR,2.49
DIS,4.42
SHOP,1.31
CLLNY,10.41
TDG,0.27
ANET,3.92
VST,2.28
MA,1.93
UNH,1.17
NOW,6.35
AMT,0.89
Z,3
AFRM,3.92
MRSH,5.32
CRH,2.33
VMC,1.42
CDNS,2.76
MCO,0.6
ADBE,1.43
GDDY,2.66
LULU,1.7
IBKR,4.21
WCN,3.72
BRO,2.51
DKNG,6.61
MOS,5.63
HEIA,1.32
ROL,8.25
SNPS,2.15
BAX,10.53
GEN,20.33
CTAS,1.25
EFX,0.75
DEO,2.39
RBLX,2.15
APP,0.47
SAP,1.17
PONY,10.98
FDRXX,107.08
SMTOY,1.33
IPXHY,1.7
ATEYY,0.4
MITSY,0.05
NOK,4.9
TEVA,1.57
MTSUY,1.14
GLNCY,2.31
PCRHY,2.21
MARUY,0.12
E,0.71
MT,0.35
MRAAY,1.58
CNQ,0.56
ASML,0.1
ASMIY,0.07
MITEY,1.49
KWHIY,0.35
VWDRY,1.77
SMERY,0.35
OTSKY,0.6
SSUMY,1.17
TTE,0.52
RIO,0.65
GSK,1.49
PRYMY,0.85
NGLOY,0.96
HOCPY,0.25
TSM,0.2
UCBJY,0.49
CCJ,0.12
BBVA,2
SUHJY,0.91
BHP,0.54
MFG,7.16
SSEZY,1.31
IX,2.1
TAK,2.16
HSBC,1.01
SHEL,1.41
ORANY,3.35
AIBGY,0.75
SMFG,3.94
TKOMY,0.51
IBDRY,0.57
SMCAY,1
SGAPY,0.69
FRCOY,0.82
DNKEY,0.95
CAIXY,14.47
ERIC,1.26
SAN,13.8
SHECY,1.49
NGG,0.47
OVCHY,0.85
SMPNY,0.8
AZN,0.575
MSADY,0.69
FNV,0.12
EONGY,1.09
BNTGY,1.58
BAESY,0.27
ITOCY,3.5
NPNYY,1.55
SCGLY,1.6
RYCEY,4.94
TOELY,0.14
LYG,15.32
DBSDY,0.2
GMAB,0.69
HALMY,0.29
QBIEY,1.17
VEOEY,0.97
SCBFY,0.76
AAGIY,1.86
TM,0.16
MHVIY,0.51
FISZX,38.266
KBCSY,1.02
UPMMY,1.07
PUK,1.35
DHLGY,0.99
BUD,0.37
RHHBY,1.51
DTEGY,1.79
BTI,1.16
DSDVY,0.56
ATLKY,0.93
VCISY,1.34
ISUZY,1.99
BZLFY,0.98
ING,1.12
DQJCY,2.25
TTDKY,0.8
IDEXY,1.28
IMBBY,1.06
CRH,0.33
LGRDY,1.47
AIQUY,0.96
BCS,1.03
ASAZY,2.69
CFRUY,3.02
CHGCY,0.83
THLLY,0.2
LSEGY,0.97
NWG,4.2
AER,0.1
HENKY,1.43
ALIZY,2.92
DBOEY,1.12
BXBLY,1
SAFRY,0.79
ZURVY,2.17
BNPQY,0.74
RYAAY,0.39
MQBKY,0.17
SBGSY,1.19
UBS,1.23
SNY,0.51
SKHHY,2.12
HTHIY,3.68
MKKGY,0.85
ADRNY,0.26
SPOT,0.04
MBGYY,1.75
DANOY,1.01
NVZMY,0.24
LZAGY,0.22
UNCRY,0.65
PNDRY,1.08
ISNPY,1.55
MURGY,1.36
BURBY,0.53
RELX,1.02
NPSCY,3.883
BMWKY,0.96
SIEGY,0.67
ARGX,0.02
SDXAY,1.21
MGDDY,1.16
DASTY,1.11
UL,0.37
CMPGY,1.15
LVMUY,0.38
RANJY,0.77
HXGBY,1.97
RNECY,2.2
FUJIY,1.48
HMC,0.49
KGSPY,0.17
GVDNY,0.26
CODYY,1.34
DEO,0.32
RNMBY,0.06
PROSY,1.73
SE,0.15
PRNDY,1.45
TGOPY,2.59
FDRXX,10116.23
FGOMX,10454.514
FIFGX,35.92
FCTDX,16630.633
FUSIX,3915.188
FIWGX,27915.604
FSKLX,1302.572
FSPWX,2247.91
FSRJX,1587.976
FBLTX,780.087
FSUVX,1324.646
FDRXX,4952.93
FGOMX,4221.506
FIFGX,12.561
FCTDX,9323.834
FUSIX,666.844
FSKLX,1494.292
FIWGX,1332.883
FSRJX,506.921
FSCRX,1164.198
FBLTX,133.698
FSUVX,962.833
FDRXX,8783.46
FXAIX,178.657
SPDW,116.053
SPEM,105.943
SPRXX,2689.65
SPAXX,442.98
SPY,73.42
REZ,665.819
IGIB,583.512
HYGH,361.601
JPRE,918.58
SPAXX,3014.62
MSFT,19
BRKB,15
QUAL,37
VLUE,48
MTUM,33
IVLU,129
IMTM,47
IQLT,48
AVEM,29
AVSC,38
SHM,244
MUB,29
SPAXX,1963.45
MU,7.21
GEV,2.34
KLAC,0.91
TSM,5.78
ASML,1.26
AVGO,10.55
APH,9.53
IMO,9.7
GOOGL,20.48
ANET,5
GOOG,2.55
RYCEY,61.57
MFG,79
SAN,93.4
NVDA,56.59
UCBJY,8.2
CEG,1.67
GE,10.43
NTRS,6
HSBC,10.76
SMFG,27.63
NTR,7.93
HTHIY,30.94
TSLA,1.35
MAR,1.72
FZAEX,107.881
CSCO,14
UNCRY,28
VLUE,130.28
ETN,1.94
LYG,106.28
HLT,3
SHEL,21.47
USB,13.11
AVEM,177
BA,5.32
BAC,35.33
IVLU,312
SCHA,386
JPM,9.83
DHLGY,10.59
DE,1.64
PNC,4
MTB,3
URI,0.85
AAPL,14.14
VB,27
SCHF,2069.98
WFC,30.7
DFAC,1200
TT,1.47
RNMBY,1
BNPQY,10.18
VOO,126
IMTM,218.44
SCHX,1020
VWO,82
SCHE,235
AMZN,19.26
SIEGY,9.28
IQLT,218
IR,6.67
CDNS,1.78
TRV,5
BLK,1
VMC,2
SPSM,843.539
CFRUY,24.05
ALIZY,17
DIS,9.41
SPDW,371.931
SPMD,1522.915
ORCL,5.47
META,5.67
SPY,673.924
HEIA,3
SCHH,473.92
SPEM,841.031
MSFT,14.11
SPAXX,351.24
FXAIX,29.367
FSPSX,59.351
FPADX,48.613
SCHM,51
SCHA,32
VGSH,9
BNDX,16
AGG,14
FDRXX,295.06
FGOMX,251.17
FCTDX,555.336
FIFGX,0.753
FSKLX,89.056
FUSIX,39.716
FSRJX,30.557
FIWGX,13.183
FSCRX,69.245
FBLTX,97.101
FSUVX,57.357
FDRXX,2411.34
FGOMX,2050.887
FIFGX,6.421
FCTDX,4531.353
FUSIX,324.072
FSKLX,726.366
FIWGX,694.698
FSRJX,246.583
FSCRX,565.231
FSUVX,467.895
FDRXX,43869.24
APH,194
PLXS,125
OMF,83.21
TPH,232
ALLY,23
SMLF,2560
IVLU,8411
MBC,104
EMGF,1526
SLVM,5
IMTM,5107
IQLT,6006.94
SPLV,967.03
QUAL,186.68
IJR,158.51
IJH,609.42
FISMX,352.386
FSAJX,15453.258
FSMNX,1030.617
FDRXX,6391.10
AVGO,122.212
LRCX,62.954
MU,33.119
AMAT,40.812
STX,19.15
APH,158.608
TT,3.974
PHM,117.18
ETN,7.739
MS,16
NRG,62.967
META,62.375
XOM,126.918
COP,54.566
CF,2
DHI,80.481
JCI,30.18
NUE,25
ADI,27.295
BK,74.17
CBOE,11
HIG,94.39
NET,7
WMT,199.814
CEG,6.248
KMI,86
PH,15
HUBB,9.722
MSI,22.04
RSG,16.585
RS,70.09
PGR,7
CBRE,124.53
ABBV,74.426
WBD,204.3
LH,38
SNA,40
DGX,72.03
ACGL,97
GD,2.94
ALL,33
EBAY,111
SYF,1
PCAR,158.79
PM,92.907
NOC,7.875
EXC,143
AIG,60.64
ADM,143
DD,20.94
ALNY,9
GLPI,30
IBM,20.491
NVDA,485.854
TXN,43.22
KR,104
AFL,158.84
LENB,49
AMTM,3
LMT,11.197
LDOS,55.12
PLTR,41.62
JNJ,51.586
DUK,51.237
ORCL,28.048
AAPL,295.451
WY,16
GOOG,84.58
GOOGL,113.933
J,50.59
QCOM,38.99
INSM,12.26
LEN,39.15
EXPD,23.06
GEV,3
CDW,47.656
TSN,4
FNF,130
REGN,1
AMGN,5.55
TSLA,56.827
MCK,2.25
HPQ,67
BRKB,20.273
WPC,25.36
WELL,10.5
GILD,10.89
JPM,47.051
MAS,10
MRK,35.69
LOW,23.157
ACN,41.89
KO,7.55
CME,2.09
BBY,22
DDOG,2.46
EQIX,1.56
SO,17.53
SCHW,14.23
NFLX,80.42
FANG,7.21
TMUS,8.22
CRWD,1.5
GE,7.48
CTSH,77.809
VST,4.59
RBLX,12.23
PFE,84.2
TMO,8.66
UNH,12.88
AMZN,178.967
LLY,16.71
NEE,17.13
PEP,15.28
COST,4.02
T,44.78
CMCSA,86.48
VZ,25.02
C,13.6
INTU,7.3
RCL,2
ABNB,9.68
PLD,13.69
BAC,95.09
AXP,7.66
PG,11.47
FLUT,11.82
SBUX,22.87
V,31.406
MCD,4.07
MSTR,11.37
SNOW,5.19
ANET,9.4
GS,1.86
SYK,5.84
HOOD,5.9
ZS,11.5
MA,15.873
DHR,14.16
AMT,7.18
CDNS,8.13
BA,16.9
ABT,6.18
MSFT,139.343
NOW,50.51
INTC,39.23
ADBE,11.08
TEAM,25.42
XYZ,36.7
HUBS,8.91
DXCM,17.36
ISRG,6.83
HD,4.44
ARE,29.2
BLK,2.75
DIS,28.99
COIN,8.02
UBER,21.42
CMG,30.45
BAX,64.95
CRM,30.97
APP,1.85
AMD,7.12
NEM,9.65
DKNG,52.62
ARES,11.2
FDRXX,11391.08
LRCX,67.476
MU,41.991
AMAT,44.098
AVGO,106.428
TOL,79.17
APH,292.182
PHM,122.11
ETN,15.261
MS,26
NRG,79.813
DHI,63.789
TT,12.656
CF,47
BK,73.83
JCI,42.82
HIG,85.61
ADI,17.475
WMT,103.186
HUBB,9.278
COP,73.934
PNR,45
MSI,24.96
AS,61.38
ABBV,38.184
HII,15
XOM,241.282
META,61.365
GEV,14.09
RSG,17.935
GD,5
VIK,16
PM,59.093
NOC,9.065
ALNY,2
IMO,51.08
FTAI,8.86
IBM,7.219
FQVLF,73.66
RBLX,51.53
ELAN,161.59
DOW,75.25
LMT,11.593
ARGX,2
TOST,134.56
JEF,197
CAH,2.9
DUK,35.763
PWR,7.35
JNJ,13.794
NEM,50.48
GSK,172.554
CNQ,83.29
CVNA,3.18
QCOM,12.43
GOOGL,170.197
AAPL,119.419
GILD,29.68
GOOG,48.81
DHLGY,23.04
TSLA,11.783
BMY,27
FDX,16.33
ROST,16.6
GE,73.31
CDW,38.344
UCBJY,20.27
CLS,3.36
TSN,57
MRK,84.39
TSM,35.56
CHRW,18.47
AZN,40.952
SIEGY,11.979
ACN,32
SHEL,194.545
MUSA,2.22
KNX,31.12
TGT,24.41
MPWR,1.47
WAB,32.53
MTB,7.34
CTVA,64.52
LHX,8.27
NVDA,571.586
LOW,31.453
MCK,7
WERN,73.12
FBIN,90.56
PNC,5.42
WPM,15.33
KO,22.29
CSCO,69.43
ULTA,2
MAR,25.49
DAL,16.96
JPM,25.409
TRV,34.2
NGG,45.25
HLN,243
WBD,28.57
PCG,121.64
HLT,21.04
LLY,7.64
SPOT,2.217
CME,18.07
USB,110.9
CVS,80.92
COR,5.83
BJ,19.72
SBUX,30.7
IOT,48.4
CTSH,116.371
UPS,76.65
KVUE,116.7
KR,28.45
BAC,339.01
UNH,11.78
ORLY,10.08
CL,50.91
CCK,20.85
CRH,24.37
NFLX,172.04
CPAY,10.41
TFC,131.36
BA,59.873
MDLZ,96.68
COST,7.69
PEP,12.99
SFM,18.93
WELL,7.66
SNPS,11.78
TMO,13.39
MLM,9.55
BTI,22.85
CMCSA,96.83
